270101	N-	----NSF-	Ἀποκάλυψις	ἀποκάλυψις		a)poka/luyij
270505	V-	3PAI-S--	λέγει	λέγω		le/gw
270505	RP	----DS--	μοι	ἐγώ	·	e)gw/
270505	D-	--------	Μὴ	μή		mh/
270505	V-	2PAD-S--	κλαῖε	κλαίω	·	klai/w
270505	X-	--------	ἰδοὺ	ἰδού		i)dou/
270505	V-	3AAI-S--	ἐνίκησεν	νικάω		nika/w
270505	RA	----NSM-	ὁ	ὁ		o(
270505	N-	----NSM-	λέων	λέων		le/wn
270505	RA	----NSM-	ὁ	ὁ		o(
270505	P-	--------	ἐκ	ἐκ		e)k
270505	RA	----GSF-	τῆς	ὁ		o(
270505	N-	----GSF-	φυλῆς	φυλή		fulh/
270505	N-	----GSM-	Ἰούδα	Ἰούδας	,	I)ou/daj
270505	RA	----NSF-	ἡ	ὁ		o(
270505	N-	----NSF-	ῥίζα	ῥίζα		r(i/za
270505	N-	----GSM-	Δαυίδ	Δαυίδ	,	Daui/d
270505	V-	-AAN----	ἀνοῖξαι	ἀνοίγω		a)noi/gw
270505	RA	----ASN-	τὸ	ὁ		o(
270505	N-	----ASN-	βιβλίον	βιβλίον		bibli/on
270505	C-	--------	καὶ	καί		kai/
270505	RA	----APF-	τὰς	ὁ		o(
270505	A-	----APF-	ἑπτὰ	ἑπτά		e(pta/
270505	N-	----APF-	σφραγῖδας	σφραγίς		sfragi/j
270505	RP	----GSN-	αὐτοῦ	αὐτός	.	au)to/j
270506	C-	--------	Καὶ	καί		kai/
270506	V-	1AAI-S--	εἶδον	ὁράω		o(ra/w
270506	P-	--------	ἐν	ἐν		e)n
270506	A-	----DSN-	μέσῳ	μέσος		me/soj
270506	RA	----GSM-	τοῦ	ὁ		o(
270506	N-	----GSM-	θρόνου	θρόνος		qro/noj
270506	C-	--------	καὶ	καί		kai/
270506	RA	----GPN-	τῶν	ὁ		o(
270506	A-	----GPN-	τεσσάρων	τέσσαρες		te/ssarej
270506	N-	----GPN-	ζῴων	ζῷον		zw=|on
270506	C-	--------	καὶ	καί		kai/
270506	P-	--------	ἐν	ἐν		e)n
270506	A-	----DSN-	μέσῳ	μέσος		me/soj
270506	RA	----GPM-	τῶν	ὁ		o(
270506	A-	----GPM-	πρεσβυτέρων	πρεσβύτερος		presbu/teroj
270506	N-	----NSN-	ἀρνίον	ἀρνίον		a)rni/on
270506	V-	-XAPNSN-	ἑστηκὸς	ἵστημι		i(/sthmi
270506	C-	--------	ὡς	ὡς		w(j
270506	V-	-XPPNSN-	ἐσφαγμένον	σφάζω	,	sfa/zw
270506	V-	-PAPNSM-	ἔχων	ἔχω		e)/xw
270506	N-	----APN-	κέρατα	κέρας		ke/raj
270506	A-	----APN-	ἑπτὰ	ἑπτά		e(pta/
270506	C-	--------	καὶ	καί		kai/
270506	N-	----APM-	ὀφθαλμοὺς	ὀφθαλμός		o)fqalmo/j
270506	A-	----APM-	ἑπτά	ἑπτά	,	e(pta/
270506	RR	----NPM-	οἵ	ὅς		o(/j
270506	V-	3PAI-P--	εἰσιν	εἰμί		ei)mi/
270506	RA	----NPN-	τὰ	ὁ		o(
270506	A-	----NPN-	ἑπτὰ	ἑπτά		e(pta/
270506	N-	----NPN-	πνεύματα	πνεῦμα		pneu=ma
270506	RA	----GSM-	τοῦ	ὁ		o(
270506	N-	----GSM-	θεοῦ	θεός	,	qeo/j
270506	V-	-XPPNPM-	ἀπεσταλμένοι	ἀποστέλλω		a)poste/llw
270506	P-	--------	εἰς	εἰς		ei)j
270506	A-	----ASF-	πᾶσαν	πᾶς		pa=j
270506	RA	----ASF-	τὴν	ὁ		o(
270506	N-	----ASF-	γῆν	γῆ	.	gh=
270507	C-	--------	καὶ	καί		kai/
270507	V-	3AAI-S--	ἦλθεν	ἔρχομαι		e)/rxomai
270507	C-	--------	καὶ	καί		kai/
270507	V-	3XAI-S--	εἴληφεν	λαμβάνω		lamba/nw
270507	P-	--------	ἐκ	ἐκ		e)k
270507	RA	----GSF-	τῆς	ὁ		o(
270507	A-	----GSF-	δεξιᾶς	δεξιός		decio/j
270507	RA	----GSM-	τοῦ	ὁ		o(
270507	V-	-PMPGSM-	καθημένου	κάθημαι		ka/qhmai
270507	P-	--------	ἐπὶ	ἐπί		e)pi/
270507	RA	----GSM-	τοῦ	ὁ		o(
270507	N-	----GSM-	θρόνου	θρόνος	.	qro/noj
270508	C-	--------	καὶ	καί		kai/
270508	C-	--------	ὅτε	ὅτε		o(/te
270508	V-	3AAI-S--	ἔλαβεν	λαμβάνω		lamba/nw
270508	RA	----ASN-	τὸ	ὁ		o(
270508	N-	----ASN-	βιβλίον	βιβλίον	,	bibli/on
270508	RA	----NPN-	τὰ	ὁ		o(
270508	A-	----NPN-	τέσσαρα	τέσσαρες		te/ssarej
270508	N-	----NPN-	ζῷα	ζῷον		zw=|on
270508	C-	--------	καὶ	καί		kai/
270508	RA	----NPM-	οἱ	ὁ		o(
270508	A-	----NPM-	εἴκοσι	εἴκοσι(ν)		ei)/kosi[n]
270508	A-	----NPM-	τέσσαρες	τέσσαρες		te/ssarej
270508	A-	----NPM-	πρεσβύτεροι	πρεσβύτερος		presbu/teroj
270508	V-	3AAI-P--	ἔπεσαν	πίπτω		pi/ptw
270508	P-	--------	ἐνώπιον	ἐνώπιον		e)nw/pion
270508	RA	----GSN-	τοῦ	ὁ		o(
270508	N-	----GSN-	ἀρνίου	ἀρνίον	,	a)rni/on
270508	V-	-PAPNPM-	ἔχοντες	ἔχω		e)/xw
270508	A-	----NSM-	ἕκαστος	ἕκαστος		e(/kastoj
270508	N-	----ASF-	κιθάραν	κιθάρα		kiqa/ra
270508	C-	--------	καὶ	καί		kai/
270508	N-	----APF-	φιάλας	φιάλη		fia/lh
270508	A-	----APF-	χρυσᾶς	χρυσοῦς		xrusou=j
270508	V-	-PAPAPF-	γεμούσας	γέμω		ge/mw
270508	N-	----GPN-	θυμιαμάτων	θυμίαμα	,	qumi/ama
270508	RR	----NPF-	αἵ	ὅς		o(/j
270508	V-	3PAI-P--	εἰσιν	εἰμί		ei)mi/
270508	RA	----NPF-	αἱ	ὁ		o(
270508	N-	----NPF-	προσευχαὶ	προσευχή		proseuxh/
270508	RA	----GPM-	τῶν	ὁ		o(
270508	A-	----GPM-	ἁγίων	ἅγιος	·	a(/gioj
270509	C-	--------	καὶ	καί		kai/
270509	V-	3PAI-P--	ᾄδουσιν	ᾄδω		a)/|dw
270509	N-	----ASF-	ᾠδὴν	ᾠδή		w)|dh/
270509	A-	----ASF-	καινὴν	καινός		kaino/j
270509	V-	-PAPNPM-	λέγοντες	λέγω	·	le/gw
270509	A-	----NSM-	Ἄξιος	ἄξιος		a)/cioj
270509	V-	2PAI-S--	εἶ	εἰμί		ei)mi/
270509	V-	-AAN----	λαβεῖν	λαμβάνω		lamba/nw
270509	RA	----ASN-	τὸ	ὁ		o(
270509	N-	----ASN-	βιβλίον	βιβλίον		bibli/on
270509	C-	--------	καὶ	καί		kai/
270509	V-	-AAN----	ἀνοῖξαι	ἀνοίγω		a)noi/gw
270509	RA	----APF-	τὰς	ὁ		o(
270509	N-	----APF-	σφραγῖδας	σφραγίς		sfragi/j
270509	RP	----GSN-	αὐτοῦ	αὐτός	,	au)to/j
270509	C-	--------	ὅτι	ὅτι		o(/ti
270509	V-	2API-S--	ἐσφάγης	σφάζω		sfa/zw
270509	C-	--------	καὶ	καί		kai/
270509	V-	2AAI-S--	ἠγόρασας	ἀγοράζω		a)gora/zw
270509	RA	----DSM-	τῷ	ὁ		o(
270509	N-	----DSM-	θεῷ	θεός		qeo/j
270509	P-	--------	ἐν	ἐν		e)n
270509	RA	----DSN-	τῷ	ὁ		o(
270509	N-	----DSN-	αἵματί	αἷμα		ai(=ma
270509	RP	----GS--	σου	σύ		su/
270509	P-	--------	ἐκ	ἐκ		e)k
270509	A-	----GSF-	πάσης	πᾶς		pa=j
270509	N-	----GSF-	φυλῆς	φυλή		fulh/
270509	C-	--------	καὶ	καί		kai/
270509	N-	----GSF-	γλώσσης	γλῶσσα		glw=ssa
270509	C-	--------	καὶ	καί		kai/
270509	N-	----GSM-	λαοῦ	λαός		lao/j
270509	C-	--------	καὶ	καί		kai/
270509	N-	----GSN-	ἔθνους	ἔθνος	,	e)/qnoj
270510	C-	--------	καὶ	καί		kai/
270510	V-	2AAI-S--	ἐποίησας	ποιέω		poie/w
270510	RP	----APM-	αὐτοὺς	ἑαυτοῦ		e(autou=
270510	RA	----DSM-	τῷ	ὁ		o(
270510	N-	----DSM-	θεῷ	θεός		qeo/j
270510	RP	----GP--	ἡμῶν	ἐγώ		e)gw/
270510	N-	----ASF-	βασιλείαν	βασιλεία		basilei/a
270510	C-	--------	καὶ	καί		kai/
270510	N-	----APM-	ἱερεῖς	ἱερεύς	,	i(ereu/j
270510	C-	--------	καὶ	καί		kai/
270510	V-	3FAI-P--	βασιλεύουσιν	βασιλεύω		basileu/w
270510	P-	--------	ἐπὶ	ἐπί		e)pi/
270510	RA	----GSF-	τῆς	ὁ		o(
270510	N-	----GSF-	γῆς	γῆ	.	gh=
270511	C-	--------	Καὶ	καί		kai/
270511	V-	1AAI-S--	εἶδον	ὁράω	,	o(ra/w
270511	C-	--------	καὶ	καί		kai/
270511	V-	1AAI-S--	ἤκουσα	ἀκούω		a)kou/w
270511	N-	----ASF-	φωνὴν	φωνή		fwnh/
270511	N-	----GPM-	ἀγγέλων	ἄγγελος		a)/ggeloj
270511	A-	----GPM-	πολλῶν	πολύς		polu/j
270511	P-	--------	κύκλῳ	κύκλῳ		ku/klw|
270511	RA	----GSM-	τοῦ	ὁ		o(
270511	N-	----GSM-	θρόνου	θρόνος		qro/noj
270511	C-	--------	καὶ	καί		kai/
270511	RA	----GPN-	τῶν	ὁ		o(
270511	N-	----GPN-	ζῴων	ζῷον		zw=|on
270511	C-	--------	καὶ	καί		kai/
270511	RA	----GPM-	τῶν	ὁ		o(
270511	A-	----GPM-	πρεσβυτέρων	πρεσβύτερος	,	presbu/teroj
270511	C-	--------	καὶ	καί		kai/
270511	V-	3IAI-S--	ἦν	εἰμί		ei)mi/
270511	RA	----NSM-	ὁ	ὁ		o(
270511	N-	----NSM-	ἀριθμὸς	ἀριθμός		a)riqmo/j
270511	RP	----GPM-	αὐτῶν	αὐτός		au)to/j
270511	N-	----NPF-	μυριάδες	μυριάς		muria/j
270511	N-	----GPF-	μυριάδων	μυριάς		muria/j
270511	C-	--------	καὶ	καί		kai/
270511	N-	----NPF-	χιλιάδες	χιλιάς		xilia/j
270511	N-	----GPF-	χιλιάδων	χιλιάς	,	xilia/j
270512	V-	-PAPNPM-	λέγοντες	λέγω		le/gw
270512	N-	----DSF-	φωνῇ	φωνή		fwnh/
270512	A-	----DSF-	μεγάλῃ	μέγας	·	me/gaj
270512	A-	----NSN-	Ἄξιόν	ἄξιος		a)/cioj
270512	V-	3PAI-S--	ἐστιν	εἰμί		ei)mi/
270512	RA	----NSN-	τὸ	ὁ		o(
270512	N-	----NSN-	ἀρνίον	ἀρνίον		a)rni/on
270512	RA	----NSN-	τὸ	ὁ		o(
270512	V-	-XPPNSN-	ἐσφαγμένον	σφάζω		sfa/zw
270512	V-	-AAN----	λαβεῖν	λαμβάνω		lamba/nw
270512	RA	----ASF-	τὴν	ὁ		o(
270512	N-	----ASF-	δύναμιν	δύναμις		du/namij
270512	C-	--------	καὶ	καί		kai/
270512	N-	----ASM-	πλοῦτον	πλοῦτος		plou=toj
270512	C-	--------	καὶ	καί		kai/
270512	N-	----ASF-	σοφίαν	σοφία		sofi/a
270512	C-	--------	καὶ	καί		kai/
270512	N-	----ASF-	ἰσχὺν	ἰσχύς		i)sxu/j
270512	C-	--------	καὶ	καί		kai/
270512	N-	----ASF-	τιμὴν	τιμή		timh/
270512	C-	--------	καὶ	καί		kai/
270512	N-	----ASF-	δόξαν	δόξα		do/ca
270512	C-	--------	καὶ	καί		kai/
270512	N-	----ASF-	εὐλογίαν	εὐλογία	.	eu)logi/a
270513	C-	--------	καὶ	καί		kai/
270513	A-	----ASN-	πᾶν	πᾶς		pa=j
270513	N-	----ASN-	κτίσμα	κτίσμα		kti/sma
270513	RR	----NSN-	ὃ	ὅς		o(/j
270513	P-	--------	ἐν	ἐν		e)n
270513	RA	----DSM-	τῷ	ὁ		o(
270513	N-	----DSM-	οὐρανῷ	οὐρανός		ou)rano/j
270513	C-	--------	καὶ	καί		kai/
270513	P-	--------	ἐπὶ	ἐπί		e)pi/
270513	RA	----GSF-	τῆς	ὁ		o(
270513	N-	----GSF-	γῆς	γῆ		gh=
270513	C-	--------	καὶ	καί		kai/
270513	P-	--------	ὑποκάτω	ὑποκάτω		u(poka/tw
270513	RA	----GSF-	τῆς	ὁ		o(
270513	N-	----GSF-	γῆς	γῆ		gh=
270513	C-	--------	καὶ	καί		kai/
270513	P-	--------	ἐπὶ	ἐπί		e)pi/
270513	RA	----GSF-	τῆς	ὁ		o(
270513	N-	----GSF-	θαλάσσης	θάλασσα	,	qa/lassa
270513	C-	--------	καὶ	καί		kai/
270513	RA	----APN-	τὰ	ὁ		o(
270513	P-	--------	ἐν	ἐν		e)n
270513	RP	----DPM-	αὐτοῖς	αὐτός		au)to/j
270513	A-	----APN-	πάντα	πᾶς	,	pa=j
270513	V-	1AAI-S--	ἤκουσα	ἀκούω		a)kou/w
270513	V-	-PAPAPM-	λέγοντας	λέγω	·	le/gw
270513	RA	----DSM-	Τῷ	ὁ		o(
270513	V-	-PMPDSM-	καθημένῳ	κάθημαι		ka/qhmai
270513	P-	--------	ἐπὶ	ἐπί		e)pi/
270513	RA	----DSM-	τῷ	ὁ		o(
270513	N-	----DSM-	θρόνῳ	θρόνος		qro/noj
270513	C-	--------	καὶ	καί		kai/
270513	RA	----DSN-	τῷ	ὁ		o(
270513	N-	----DSN-	ἀρνίῳ	ἀρνίον		a)rni/on
270513	RA	----NSF-	ἡ	ὁ		o(
270513	N-	----NSF-	εὐλογία	εὐλογία		eu)logi/a
270513	C-	--------	καὶ	καί		kai/
270513	RA	----NSF-	ἡ	ὁ		o(
270513	N-	----NSF-	τιμὴ	τιμή		timh/
270513	C-	--------	καὶ	καί		kai/
270513	RA	----NSF-	ἡ	ὁ		o(
270513	N-	----NSF-	δόξα	δόξα		do/ca
270513	C-	--------	καὶ	καί		kai/
270513	RA	----NSN-	τὸ	ὁ		o(
270513	N-	----NSN-	κράτος	κράτος		kra/toj
270513	P-	--------	εἰς	εἰς		ei)j
270513	RA	----APM-	τοὺς	ὁ		o(
270513	N-	----APM-	αἰῶνας	αἰών		ai)w/n
270513	RA	----GPM-	τῶν	ὁ		o(
270513	N-	----GPM-	αἰώνων	αἰών	.	ai)w/n
270514	C-	--------	καὶ	καί		kai/
270514	RA	----NPN-	τὰ	ὁ		o(
270514	A-	----NPN-	τέσσαρα	τέσσαρες		te/ssarej
270514	N-	----NPN-	ζῷα	ζῷον		zw=|on
270514	V-	3IAI-P--	ἔλεγον	λέγω	·	le/gw
270514	X-	--------	Ἀμήν	ἀμήν	.	a)mh/n
270514	C-	--------	καὶ	καί		kai/
270514	RA	----NPM-	οἱ	ὁ		o(
270514	A-	----NPM-	πρεσβύτεροι	πρεσβύτερος		presbu/teroj
270514	V-	3AAI-P--	ἔπεσαν	πίπτω		pi/ptw
270514	C-	--------	καὶ	καί		kai/
270514	V-	3AAI-P--	προσεκύνησαν	προσκυνέω	.	proskune/w
270601	C-	--------	Καὶ	καί		kai/
270601	V-	1AAI-S--	εἶδον	ὁράω		o(ra/w
270601	C-	--------	ὅτε	ὅτε		o(/te
270601	V-	3AAI-S--	ἤνοιξεν	ἀνοίγω		a)noi/gw
270601	RA	----NSN-	τὸ	ὁ		o(
270601	N-	----NSN-	ἀρνίον	ἀρνίον		a)rni/on
270601	A-	----ASF-	μίαν	εἷς		ei(=j
270601	P-	--------	ἐκ	ἐκ		e)k
270601	RA	----GPF-	τῶν	ὁ		o(
270601	A-	----GPF-	ἑπτὰ	ἑπτά		e(pta/
270601	N-	----GPF-	σφραγίδων	σφραγίς	,	sfragi/j
270601	C-	--------	καὶ	καί		kai/
270601	V-	1AAI-S--	ἤκουσα	ἀκούω		a)kou/w
270601	A-	----GSN-	ἑνὸς	εἷς		ei(=j
270601	P-	--------	ἐκ	ἐκ		e)k
270601	RA	----GPN-	τῶν	ὁ		o(
270601	A-	----GPN-	τεσσάρων	τέσσαρες		te/ssarej
270601	N-	----GPN-	ζῴων	ζῷον		zw=|on
270601	V-	-PAPGSN-	λέγοντος	λέγω		le/gw
270601	C-	--------	ὡς	ὡς		w(j
270601	N-	----DSF-	φωνῇ	φωνή		fwnh/
270601	N-	----GSF-	βροντῆς	βροντή	·	bronth/
270601	V-	2PMD-S--	Ἔρχου	ἔρχομαι	.	e)/rxomai
270602	C-	--------	καὶ	καί		kai/
270602	V-	1AAI-S--	εἶδον	ὁράω	,	o(ra/w
270602	C-	--------	καὶ	καί		kai/
270602	X-	--------	ἰδοὺ	ἰδού		i)dou/
270602	N-	----NSM-	ἵππος	ἵππος		i(/ppoj
270602	A-	----NSM-	λευκός	λευκός	,	leuko/j
270602	C-	--------	καὶ	καί		kai/
270602	RA	----NSM-	ὁ	ὁ		o(
270602	V-	-PMPNSM-	καθήμενος	κάθημαι		ka/qhmai
270602	P-	--------	ἐπ	ἐπί		e)pi/
270602	RP	----ASM-	αὐτὸν	αὐτός		au)to/j
270602	V-	-PAPNSM-	ἔχων	ἔχω		e)/xw
270602	N-	----ASN-	τόξον	τόξον	,	to/con
270602	C-	--------	καὶ	καί		kai/
270602	V-	3API-S--	ἐδόθη	δίδωμι		di/dwmi
270602	RP	----DSM-	αὐτῷ	αὐτός		au)to/j
270602	N-	----NSM-	στέφανος	στέφανος	,	ste/fanoj
270602	C-	--------	καὶ	καί		kai/
270602	V-	3AAI-S--	ἐξῆλθεν	ἐξέρχομαι		e)ce/rxomai
270602	V-	-PAPNSM-	νικῶν	νικάω		nika/w
270602	C-	--------	καὶ	καί		kai/
270602	C-	--------	ἵνα	ἵνα		i(/na
270602	V-	3AAS-S--	νικήσῃ	νικάω	.	nika/w
270603	C-	--------	Καὶ	καί		kai/
270603	C-	--------	ὅτε	ὅτε		o(/te
270603	V-	3AAI-S--	ἤνοιξεν	ἀνοίγω		a)noi/gw
270603	RA	----ASF-	τὴν	ὁ		o(
270603	N-	----ASF-	σφραγῖδα	σφραγίς		sfragi/j
270603	RA	----ASF-	τὴν	ὁ		o(
270603	A-	----ASF-	δευτέραν	δεύτερος	,	deu/teroj
270603	V-	1AAI-S--	ἤκουσα	ἀκούω		a)kou/w
270603	RA	----GSN-	τοῦ	ὁ		o(
270603	A-	----GSN-	δευτέρου	δεύτερος		deu/teroj
270603	N-	----GSN-	ζῴου	ζῷον		zw=|on
270603	V-	-PAPGSN-	λέγοντος	λέγω	·	le/gw
270603	V-	2PMD-S--	Ἔρχου	ἔρχομαι	.	e)/rxomai
270604	C-	--------	καὶ	καί		kai/
270604	V-	3AAI-S--	ἐξῆλθεν	ἐξέρχομαι		e)ce/rxomai
270604	A-	----NSM-	ἄλλος	ἄλλος		a)/lloj
270604	N-	----NSM-	ἵππος	ἵππος		i(/ppoj
270604	A-	----NSM-	πυρρός	πυρρός	,	purro/j
270604	C-	--------	καὶ	καί		kai/
270604	RA	----DSM-	τῷ	ὁ		o(
270604	V-	-PMPDSM-	καθημένῳ	κάθημαι		ka/qhmai
270604	P-	--------	ἐπ	ἐπί		e)pi/
270604	RP	----ASM-	αὐτὸν	αὐτός		au)to/j
270604	V-	3API-S--	ἐδόθη	δίδωμι		di/dwmi
270604	RP	----DSM-	αὐτῷ	αὐτός		au)to/j
270604	V-	-AAN----	λαβεῖν	λαμβάνω		lamba/nw
270604	RA	----ASF-	τὴν	ὁ		o(
270604	N-	----ASF-	εἰρήνην	εἰρήνη		ei)rh/nh
270604	P-	--------	ἐκ	ἐκ		e)k
270604	RA	----GSF-	τῆς	ὁ		o(
270604	N-	----GSF-	γῆς	γῆ		gh=
270604	C-	--------	καὶ	καί		kai/
270604	C-	--------	ἵνα	ἵνα		i(/na
270604	RP	----APM-	ἀλλήλους	ἀλλήλων		a)llh/lwn
270604	V-	3FAI-P--	σφάξουσιν	σφάζω	,	sfa/zw
270604	C-	--------	καὶ	καί		kai/
270604	V-	3API-S--	ἐδόθη	δίδωμι		di/dwmi
270604	RP	----DSM-	αὐτῷ	αὐτός		au)to/j
270604	N-	----NSF-	μάχαιρα	μάχαιρα		ma/xaira
270604	A-	----NSF-	μεγάλη	μέγας	.	me/gaj
270605	C-	--------	Καὶ	καί		kai/
270605	C-	--------	ὅτε	ὅτε		o(/te
270605	V-	3AAI-S--	ἤνοιξε	ἀνοίγω		a)noi/gw
270605	RA	----ASF-	τὴν	ὁ		o(
270605	N-	----ASF-	σφραγῖδα	σφραγίς		sfragi/j
270605	RA	----ASF-	τὴν	ὁ		o(
270605	A-	----ASF-	τρίτην	τρίτος	,	tri/toj
270605	V-	1AAI-S--	ἤκουσα	ἀκούω		a)kou/w
270605	RA	----GSN-	τοῦ	ὁ		o(
270605	A-	----GSN-	τρίτου	τρίτος		tri/toj
270605	N-	----GSN-	ζῴου	ζῷον		zw=|on
270605	V-	-PAPGSN-	λέγοντος	λέγω	·	le/gw
270605	V-	2PMD-S--	Ἔρχου	ἔρχομαι	.	e)/rxomai
270605	C-	--------	καὶ	καί		kai/
270605	V-	1AAI-S--	εἶδον	ὁράω	,	o(ra/w
270605	C-	--------	καὶ	καί		kai/
270605	X-	--------	ἰδοὺ	ἰδού		i)dou/
270605	N-	----NSM-	ἵππος	ἵππος		i(/ppoj
270605	A-	----NSM-	μέλας	μέλας	,	me/laj
270605	C-	--------	καὶ	καί		kai/
270605	RA	----NSM-	ὁ	ὁ		o(
270605	V-	-PMPNSM-	καθήμενος	κάθημαι		ka/qhmai
270605	P-	--------	ἐπ	ἐπί		e)pi/
270605	RP	----ASM-	αὐτὸν	αὐτός		au)to/j
270605	V-	-PAPNSM-	ἔχων	ἔχω		e)/xw
270605	N-	----ASM-	ζυγὸν	ζυγός		zugo/j
270605	P-	--------	ἐν	ἐν		e)n
270605	RA	----DSF-	τῇ	ὁ		o(
270605	N-	----DSF-	χειρὶ	χείρ		xei/r
270605	RP	----GSM-	αὐτοῦ	αὐτός	.	au)to/j
270606	C-	--------	καὶ	καί		kai/
270606	V-	1AAI-S--	ἤκουσα	ἀκούω		a)kou/w
270606	C-	--------	ὡς	ὡς		w(j
270606	N-	----ASF-	φωνὴν	φωνή		fwnh/
270606	P-	--------	ἐν	ἐν		e)n
270606	A-	----DSN-	μέσῳ	μέσος		me/soj
270606	RA	----GPN-	τῶν	ὁ		o(
270606	A-	----GPN-	τεσσάρων	τέσσαρες		te/ssarej
270606	N-	----GPN-	ζῴων	ζῷον		zw=|on
270606	V-	-PAPASF-	λέγουσαν	λέγω	·	le/gw
270606	N-	----NSF-	Χοῖνιξ	χοῖνιξ		xoi=nic
270606	N-	----GSM-	σίτου	σῖτος		si=toj
270606	N-	----GSN-	δηναρίου	δηνάριον	,	dhna/rion
270606	C-	--------	καὶ	καί		kai/
270606	A-	----NPF-	τρεῖς	τρεῖς		trei=j
270606	N-	----NPF-	χοίνικες	χοῖνιξ		xoi=nic
270606	N-	----GPF-	κριθῶν	κριθή		kriqh/
270606	N-	----GSN-	δηναρίου	δηνάριον	·	dhna/rion
270606	C-	--------	καὶ	καί		kai/
270606	RA	----ASN-	τὸ	ὁ		o(
270606	N-	----ASN-	ἔλαιον	ἔλαιον		e)/laion
270606	C-	--------	καὶ	καί		kai/
270606	RA	----ASM-	τὸν	ὁ		o(
270606	N-	----ASM-	οἶνον	οἶνος		oi)=noj
270606	D-	--------	μὴ	μή		mh/
270606	V-	2AAS-S--	ἀδικήσῃς	ἀδικέω	.	a)dike/w
270607	C-	--------	Καὶ	καί		kai/
270607	C-	--------	ὅτε	ὅτε		o(/te
270607	V-	3AAI-S--	ἤνοιξεν	ἀνοίγω		a)noi/gw
270607	RA	----ASF-	τὴν	ὁ		o(
270607	N-	----ASF-	σφραγῖδα	σφραγίς		sfragi/j
270607	RA	----ASF-	τὴν	ὁ		o(
270607	A-	----ASF-	τετάρτην	τέταρτος	,	te/tartoj
270607	V-	1AAI-S--	ἤκουσα	ἀκούω		a)kou/w
270607	N-	----ASF-	φωνὴν	φωνή		fwnh/
270607	RA	----GSN-	τοῦ	ὁ		o(
270607	A-	----GSN-	τετάρτου	τέταρτος		te/tartoj
270607	N-	----GSN-	ζῴου	ζῷον		zw=|on
270607	V-	-PAPGSN-	λέγοντος	λέγω	·	le/gw
270607	V-	2PMD-S--	Ἔρχου	ἔρχομαι	.	e)/rxomai
270608	C-	--------	καὶ	καί		kai/
270608	V-	1AAI-S--	εἶδον	ὁράω	,	o(ra/w
270608	C-	--------	καὶ	καί		kai/
270608	X-	--------	ἰδοὺ	ἰδού		i)dou/
270608	N-	----NSM-	ἵππος	ἵππος		i(/ppoj
270608	A-	----NSM-	χλωρός	χλωρός	,	xlwro/j
270608	C-	--------	καὶ	καί		kai/
270608	RA	----NSM-	ὁ	ὁ		o(
270608	V-	-PMPNSM-	καθήμενος	κάθημαι		ka/qhmai
270608	P-	--------	ἐπάνω	ἐπάνω		e)pa/nw
270608	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270608	N-	----NSN-	ὄνομα	ὄνομα		o)/noma
270608	RP	----DSM-	αὐτῷ	αὐτός		au)to/j
270608	RA	----NSM-	ὁ	ὁ		o(
270608	N-	----NSM-	Θάνατος	θάνατος	,	qa/natoj
270608	C-	--------	καὶ	καί		kai/
270608	RA	----NSM-	ὁ	ὁ		o(
270608	N-	----NSM-	ᾅδης	ᾅδης		a(/|dhj
270608	V-	3IAI-S--	ἠκολούθει	ἀκολουθέω		a)kolouqe/w
270608	P-	--------	μετ	μετά		meta/
270608	RP	----GSM-	αὐτοῦ	αὐτός	,	au)to/j
270608	C-	--------	καὶ	καί		kai/
270608	V-	3API-S--	ἐδόθη	δίδωμι		di/dwmi
270608	RP	----DPM-	αὐτοῖς	αὐτός		au)to/j
270608	N-	----NSF-	ἐξουσία	ἐξουσία		e)cousi/a
270608	P-	--------	ἐπὶ	ἐπί		e)pi/
270608	RA	----ASN-	τὸ	ὁ		o(
270608	A-	----ASN-	τέταρτον	τέταρτος		te/tartoj
270608	RA	----GSF-	τῆς	ὁ		o(
270608	N-	----GSF-	γῆς	γῆ	,	gh=
270608	V-	-AAN----	ἀποκτεῖναι	ἀποκτείνω		a)poktei/nw
270608	P-	--------	ἐν	ἐν		e)n
270608	N-	----DSF-	ῥομφαίᾳ	ῥομφαία		r(omfai/a
270608	C-	--------	καὶ	καί		kai/
270608	P-	--------	ἐν	ἐν		e)n
270608	N-	----DSM-	λιμῷ	λιμός		limo/j
270608	C-	--------	καὶ	καί		kai/
270608	P-	--------	ἐν	ἐν		e)n
270608	N-	----DSM-	θανάτῳ	θάνατος		qa/natoj
270608	C-	--------	καὶ	καί		kai/
270608	P-	--------	ὑπὸ	ὑπό		u(po/
270608	RA	----GPN-	τῶν	ὁ		o(
270608	N-	----GPN-	θηρίων	θηρίον		qhri/on
270608	RA	----GSF-	τῆς	ὁ		o(
270608	N-	----GSF-	γῆς	γῆ	.	gh=
270609	C-	--------	Καὶ	καί		kai/
270609	C-	--------	ὅτε	ὅτε		o(/te
270609	V-	3AAI-S--	ἤνοιξεν	ἀνοίγω		a)noi/gw
270609	RA	----ASF-	τὴν	ὁ		o(
270609	A-	----ASF-	πέμπτην	πέμπτος		pe/mptoj
270609	N-	----ASF-	σφραγῖδα	σφραγίς	,	sfragi/j
270609	V-	1AAI-S--	εἶδον	ὁράω		o(ra/w
