1	1	N3I	NSF	13442	Ὅρασις	ὁρασις	ορασις	ὅρασις	o(/rasij			,	O(/RASIS	O(/RASIS
7	12	D		9	Οὐ	οὐ	ου	οὐ	ou)				OU)	OU)
7	12	D		9	μὴ	μη	μη	μή	mh/				MH\	MH/
7	12	VF	FAI1S	600193	αἰτήσω	αἰτησω	αιτησω	αἰτέω	ai)te/w				AI)TH/SW	AI)TE/W
7	12	C		4	οὐδ	οὐδ	ουδ	οὐδέ	ou)de/				OU)D'	OU)DE/
7	12	D		9	οὐ	οὐ	ου	οὐ	ou)				OU)	OU)
7	12	D		9	μὴ	μη	μη	μή	mh/				MH\	MH/
7	12	VF	FAI1S	600193	πειράσω	πειρασω	πειρασω	πειράζω	peira/zw				PEIRA/SW	PEIRA/ZW
7	12	N2	ASM	9474	κύριον	κυριον	κυριον	κύριος	ku/rioj			.	KU/RION	KU/RIOS
7	13	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	13	VBI	AAI3S	633473	εἶπεν	εἰπεν	ειπεν	ἔπω	e)/pw				EI)=PEN	EI)=PON
7	13	VA	AAD2P	895681	Ἀκούσατε	ἀκουσατε	ακουσατε	ἀκούω	a)kou/w				A)KOU/SATE	A)KOU/W
7	13	X		5	δή	δη	δη	δή	dh/			,	DH/	DH/
7	13	N2	NSM	9346	οἶκος	οἰκος	οικος	οἶκος	oi)=koj				OI)=KOS	OI)=KOS
7	13	N	GSM	9538	Δαυιδ	δαυιδ	δαυιδ	Δαβίδ	Dabi/d			·	*DAUID	*DAUI/D
7	13	D		9	μὴ	μη	μη	μή	mh/				MH\	MH/
7	13	A1A	ASM	9475	μικρὸν	μικρον	μικρον	μικρός	mikro/j				MIKRO\N	MIKRO/S
7	13	RP	DP	13	ὑμῖν	ὑμιν	υμιν	ὑμῖν	u(mi=n				U(MI=N	SU/
7	13	N3W	ASM	9474	ἀγῶνα	ἀγωνα	αγωνα	ἀγών	a)gw/n				A)GW=NA	A)GW/N
7	13	V1	PAN	304513	παρέχειν	παρεχειν	παρεχειν	παρέχω	pare/xw				PARE/XEIN	E)/XW            PARA
7	13	N2	DPM	10114	ἀνθρώποις	ἀνθρωποις	ανθρωποις	ἄνθρωπος	a)/nqrwpoj			;	A)NQRW/POIS	A)/NQRWPOS
7	13	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	13	D		9	πῶς	πως	πως	πῶς	pw=j				PW=S	PW=S
7	13	N2	DSM	9602	κυρίῳ	κυριω	κυριω	κύριος	ku/rioj				KURI/W|	KU/RIOS
7	13	V1	PAI2P	894081	παρέχετε	παρεχετε	παρεχετε	παρέχω	pare/xw				PARE/XETE	E)/XW            PARA
7	13	N3W	ASM	9474	ἀγῶνα	ἀγωνα	αγωνα	ἀγών	a)gw/n			;	A)GW=NA	A)GW/N
7	14	P		8	διὰ	δια	δια	διά	dia/				DIA\	DIA/
7	14	RD	ASN	11	τοῦτο	τουτο	τουτο	οὗτος	ou(=toj				TOU=TO	OU(=TOS
7	14	VF	FAI3S	632961	δώσει	δωσει	δωσει	δίδωμι	di/dwmi				DW/SEI	DI/DWMI
7	14	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
7	14	RD	NSM	11	αὐτὸς	αὐτος	αυτος	αὐτός	au)to/j				AU)TO\S	AU)TO/S
7	14	RP	DP	13	ὑμῖν	ὑμιν	υμιν	ὑμῖν	u(mi=n				U(MI=N	SU/
7	14	N2N	ASN	17666	σημεῖον	σημειον	σημειον	σημεῖον	shmei=on			·	SHMEI=ON	SHMEI=ON
7	14	I		6	ἰδοὺ	ἰδου	ιδου	ἰδού	i)dou/				I)DOU\	I)DOU/
7	14	RA	NSF	10	ἡ	ἡ	η	ὁ	o(				H(	O(
7	14	N2	NSF	13442	παρθένος	παρθενος	παρθενος	παρθένος	parqe/noj				PARQE/NOS	PARQE/NOS
7	14	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
7	14	N3	DSF	13698	γαστρὶ	γαστρι	γαστρι	γαστήρ	gasth/r				GASTRI\	GASTH/R
7	14	N3I	DSF	13698	ἕξει	ἑξει	εξει	ἕξις	e(/cij				E(/CEI	E(/CIS
7	14	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	14	VF	FMI3S	637057	τέξεται	τεξεται	τεξεται	τίκτω	ti/ktw				TE/CETAI	TI/KTW
7	14	N2	ASM	9474	υἱόν	υἱον	υιον	υἱός	ui(o/j			,	UI(O/N	UI(O/S
7	14	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	14	VF	FAI2S	632961	καλέσεις	καλεσεις	καλεσεις	καλέω	kale/w				KALE/SEIS	KALE/W
7	14	RA	ASN	10	τὸ	το	το	ὁ	o(				TO\	O(
7	14	N3M	ASN	17666	ὄνομα	ὀνομα	ονομα	ὄνομα	o)/noma				O)/NOMA	O)/NOMA
7	14	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός	au)to/j				AU)TOU=	AU)TO/S
7	14	N	NSM	9346	Εμμανουηλ	εμμανουηλ	εμμανουηλ	Ἐμμανουήλ	E)mmanouh/l			·	*EMMANOUHL	*EMMANOUHL
7	15	N2N	ASN	17666	βούτυρον	βουτυρον	βουτυρον	βούτυρον	bou/turon				BOU/TURON	BOU/TURON
7	15	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	15	N3	ASN	17666	μέλι	μελι	μελι	μέλι	me/li				ME/LI	ME/LI
7	15	VF	FMI3S	637057	φάγεται	φαγεται	φαγεται	φάγω	fa/gw			·	FA/GETAI	E)SQI/W
7	15	D		9	πρὶν	πριν	πριν	πρίν	pri/n				PRI\N	PRI/N
7	15	C		4	ἢ	ἠ	η	ἤ	h)/				H)\	H)/
7	15	VZ	AAN	306049	γνῶναι	γνωναι	γνωναι	γινώσκω	ginw/skw				GNW=NAI	GIGNW/SKW
7	15	RD	ASM	11	αὐτὸν	αὐτον	αυτον	αὐτός	au)to/j				AU)TO\N	AU)TO/S
7	15	C		4	ἢ	ἠ	η	ἤ	h)/				H)\	H)/
7	15	VB	AMN	310145	προελέσθαι	προελεσθαι	προελεσθαι	προαιρέω	proaire/w				PROELE/SQAI	AI(RE/W          PRO
7	15	A1A	APN	18179	πονηρὰ	πονηρα	πονηρα	πονηρός	ponhro/j				PONHRA\	PONHRO/S
7	15	VF	FMI3S	637057	ἐκλέξεται	ἐκλεξεται	εκλεξεται	ἐκλέγω	e)kle/gw				E)KLE/CETAI	LE/GW            E)K
7	15	RA	ASN	10	τὸ	το	το	ὁ	o(				TO\	O(
7	15	A1	ASN	17667	ἀγαθόν	ἀγαθον	αγαθον	ἀγαθός	a)gaqo/j			·	A)GAQO/N	A)GAQO/S
7	16	C		4	διότι	διοτι	διοτι	διότι	dio/ti				DIO/TI	DIO/TI
7	16	D		9	πρὶν	πριν	πριν	πρίν	pri/n				PRI\N	PRI/N
7	16	C		4	ἢ	ἠ	η	ἤ	h)/				H)\	H)/
7	16	VZ	AAN	306049	γνῶναι	γνωναι	γνωναι	γινώσκω	ginw/skw				GNW=NAI	GIGNW/SKW
7	16	RA	ASN	10	τὸ	το	το	ὁ	o(				TO\	O(
7	16	N2N	ASN	17666	παιδίον	παιδιον	παιδιον	παιδίον	paidi/on				PAIDI/ON	PAIDI/ON
7	16	A1	ASN	17667	ἀγαθὸν	ἀγαθον	αγαθον	ἀγαθός	a)gaqo/j				A)GAQO\N	A)GAQO/S
7	16	C		4	ἢ	ἠ	η	ἤ	h)/				H)\	H)/
7	16	A1	ASN	17667	κακὸν	κακον	κακον	κακός	kako/j				KAKO\N	KAKO/S
7	16	A3H	DSM	9603	ἀπειθεῖ	ἀπειθει	απειθει	ἀπειθής	a)peiqh/j				A)PEIQEI=	A)PEIQH/S
7	16	N1A	DSF	13698	πονηρίᾳ	πονηρια	πονηρια	πονηρία	ponhri/a				PONHRI/A|	PONHRI/A
7	16	RA	GSN	10	τοῦ	του	του	ὁ	o(				TOU=	O(
7	16	VA	AMN	310145	ἐκλέξασθαι	ἐκλεξασθαι	εκλεξασθαι	ἐκλέγω	e)kle/gw				E)KLE/CASQAI	LE/GW            E)K
7	16	RA	ASN	10	τὸ	το	το	ὁ	o(				TO\	O(
7	16	A1	ASN	17667	ἀγαθόν	ἀγαθον	αγαθον	ἀγαθός	a)gaqo/j			,	A)GAQO/N	A)GAQO/S
7	16	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	16	VV	FPI3S	641153	καταλειφθήσεται	καταλειφθησεται	καταλειφθησεται	καταλείπω	katalei/pw				KATALEIFQH/SETAI	LEI/PW           KATA
7	16	RA	NSF	10	ἡ	ἡ	η	ὁ	o(				H(	O(
7	16	N1	NSF	13442	γῆ	γη	γη	γῆ	gh=			,	GH=	GH=
7	16	RR	ASF	14	ἣν	ἡν	ην	ὅς	o(/j				H(\N	O(/S
7	16	RP	NS	13	σὺ	συ	συ	σύ	su/				SU\	SU/
7	16	V2	PMS2S	636161	φοβῇ	φοβη	φοβη	φοβέω	fobe/w				FOBH=|	FOBE/W
7	16	P		8	ἀπὸ	ἀπο	απο	ἀπό	a)po/				A)PO\	A)PO/
7	16	N2N	GSN	17730	προσώπου	προσωπου	προσωπου	πρόσωπον	pro/swpon				PROSW/POU	PRO/SWPON
7	16	RA	GPM	10	τῶν	των	των	ὁ	o(				TW=N	O(
7	16	M		7	δύο	δυο	δυο	δύο	du/o				DU/O	DU/O
7	16	N3V	GPM	10050	βασιλέων	βασιλεων	βασιλεων	βασιλεύς	basileu/j			.	BASILE/WN	BASILEU/S
7	17	C		4	ἀλλὰ	ἀλλα	αλλα	ἀλλά	a)lla/				A)LLA\	A)LLA/
7	17	VF	FAI3S	632961	ἐπάξει	ἐπαξει	επαξει	ἐπάγω	e)pa/gw				E)PA/CEI	A)/GW            E)PI
7	17	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(				O(	O(
7	17	N2	NSM	9346	θεὸς	θεος	θεος	θεός	qeo/j				QEO\S	QEO/S
7	17	P		8	ἐπὶ	ἐπι	επι	ἐπί	e)pi/				E)PI\	E)PI/
7	17	RP	AS	13	σὲ	σε	σε	σέ	se/				SE\	SU/
7	17	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	17	P		8	ἐπὶ	ἐπι	επι	ἐπί	e)pi/				E)PI\	E)PI/
7	17	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
7	17	N2	ASM	9474	λαόν	λαον	λαον	λαός	lao/j				LAO/N	LAO/S
7	17	RP	GS	13	σου	σου	σου	σοῦ	sou=				SOU	SU/
7	17	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	17	P		8	ἐπὶ	ἐπι	επι	ἐπί	e)pi/				E)PI\	E)PI/
7	17	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
7	17	N2	ASM	9474	οἶκον	οἰκον	οικον	οἶκος	oi)=koj				OI)=KON	OI)=KOS
7	17	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
7	17	N3	GSM	9538	πατρός	πατρος	πατρος	πατήρ	path/r				PATRO/S	PATH/R
7	17	RP	GS	13	σου	σου	σου	σοῦ	sou=				SOU	SU/
7	17	N1A	APF	14082	ἡμέρας	ἡμερας	ημερας	ἡμέρα	h(me/ra			,	H(ME/RAS	H(ME/RA
7	17	RR	NPF	14	αἳ	αἱ	αι	ὅς	o(/j				AI(\	O(/S
7	17	D		9	οὔπω	οὐπω	ουπω	οὔπω	ou)/pw				OU)/PW	OU)/PW
7	17	V1	PAI3P	894081	ἥκασιν	ἡκασιν	ηκασιν	ἥκω	h(/kw				H(/KASIN	H(/KW
7	17	P		8	ἀφ	ἀφ	αφ	ἀπό	a)po/				A)F'	A)PO/
7	17	RR	GSF	14	ἧς	ἡς	ης	ὅς	o(/j				H(=S	O(/S
7	17	N1A	GSF	13634	ἡμέρας	ἡμερας	ημερας	ἡμέρα	h(me/ra				H(ME/RAS	H(ME/RA
7	17	VBI	AAI3S	633473	ἀφεῖλεν	ἀφειλεν	αφειλεν	ἀφαιρέω	a)faire/w				A)FEI=LEN	AI(RE/W          A)PO
7	17	N	NSM	9346	Εφραιμ	εφραιμ	εφραιμ	Ἐφραίμ	E)frai/m				*EFRAIM	*E)FRA/IM
7	17	P		8	ἀπὸ	ἀπο	απο	ἀπό	a)po/				A)PO\	A)PO/
7	17	N	GSM	9538	Ιουδα	ιουδα	ιουδα	Ἰουδά	I)ouda/			,	*IOUDA	*IOUDA
7	17	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
7	17	N3V	ASM	9474	βασιλέα	βασιλεα	βασιλεα	βασιλεύς	basileu/j				BASILE/A	BASILEU/S
7	17	RA	GPM	10	τῶν	των	των	ὁ	o(				TW=N	O(
7	17	N2	GPM	10050	Ἀσσυρίων	ἀσσυριων	ασσυριων	Ἀσσύριος	A)ssu/rioj			.	*A)SSURI/WN	*A)SSU/RIOS
7	18	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	18	VF	FMI3S	637057	ἔσται	ἐσται	εσται	εἰμί	ei)mi/				E)/STAI	EI)MI/
7	18	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
7	18	RA	DSF	10	τῇ	τη	τη	ὁ	o(				TH=|	O(
7	18	N1A	DSF	13698	ἡμέρᾳ	ἡμερα	ημερα	ἡμέρα	h(me/ra				H(ME/RA|	H(ME/RA
7	18	RD	DSF	11	ἐκείνῃ	ἐκεινη	εκεινη	ἐκεῖνος	e)kei=noj				E)KEI/NH|	E)KEI=NOS
7	18	VF2	FAI3S	632961	συριεῖ	συριει	συριει	συρίζω	suri/zw				SURIEI=	SURI/ZW
7	18	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
7	18	N1A	DPF	14210	μυίαις	μυιαις	μυιαις	μυῖα	mui=a			,	MUI/AIS	MUI=A
7	18	RR	NSN	14	ὃ	ὁ	ο	ὅς	o(/j				O(\	O(/S
7	18	VF	FAI3S	632961	κυριεύει	κυριευει	κυριευει	κυριεύω	kurieu/w				KURIEU/EI	KURIEU/W
7	18	N3E	GSN	17730	μέρους	μερους	μερους	μέρος	me/roj				ME/ROUS	ME/ROS
7	18	N2	GSM	9538	ποταμοῦ	ποταμου	ποταμου	ποταμός	potamo/j				POTAMOU=	POTAMO/S
7	18	N2	GSF	13634	Αἰγύπτου	αἰγυπτου	αιγυπτου	Αἴγυπτος	Ai)/guptoj			,	*AI)GU/PTOU	*AI)/GUPTOS
7	18	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	18	RA	DSF	10	τῇ	τη	τη	ὁ	o(				TH=|	O(
7	18	N1	DSF	13698	μελίσσῃ	μελισση	μελισση	μέλισσα	me/lissa			,	MELI/SSH|	ME/LISSA
7	18	RR	NSF	14	ἥ	ἡ	η	ὅς	o(/j				H(/	O(/S
7	18	V9	PAI3S	631937	ἐστιν	ἐστιν	εστιν	εἰμί	ei)mi/				E)STIN	EI)MI/
7	18	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
7	18	N1A	DSF	13698	χώρᾳ	χωρα	χωρα	χώρα	xw/ra				XW/RA|	XW/RA
7	18	N2	GPM	10050	Ἀσσυρίων	ἀσσυριων	ασσυριων	Ἀσσύριος	A)ssu/rioj			,	*A)SSURI/WN	*A)SSU/RIOS
7	19	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	19	VF	FMI3P	899201	ἐλεύσονται	ἐλευσονται	ελευσονται	ἔρχομαι	e)/rxomai				E)LEU/SONTAI	E)/RXOMAI
7	19	A3	NPM	9859	πάντες	παντες	παντες	πᾶς	pa=j				PA/NTES	PA=S
7	19	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	19	VF	FMI3P	899201	ἀναπαύσονται	ἀναπαυσονται	αναπαυσονται	ἀναπαύω	a)napau/w				A)NAPAU/SONTAI	PAU/W            A)NA
7	19	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
7	19	RA	DPF	10	ταῖς	ταις	ταις	ὁ	o(				TAI=S	O(
7	19	N3G	DPF	14210	φάραγξι	φαραγξι	φαραγξι	φάραγξ	fa/ragc				FA/RAGCI	FA/RAGC
7	19	RA	GSF	10	τῆς	της	της	ὁ	o(				TH=S	O(
7	19	N1A	GSF	13634	χώρας	χωρας	χωρας	χώρα	xw/ra				XW/RAS	XW/RA
7	19	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	19	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
7	19	RA	DPF	10	ταῖς	ταις	ταις	ὁ	o(				TAI=S	O(
7	19	N1	DPF	14210	τρώγλαις	τρωγλαις	τρωγλαις	τρώγλν	trw/gln				TRW/GLAIS	TRW/GLN
7	19	RA	GPM	10	τῶν	των	των	ὁ	o(				TW=N	O(
7	19	N2	GPM	10050	πετρῶν	πετρων	πετρων	πέτρος	pe/troj				PETRW=N	PE/TROS
7	19	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	19	P		8	εἰς	εἰς	εις	εἰς	ei)j				EI)S	EI)S
7	19	RA	APN	10	τὰ	τα	τα	ὁ	o(				TA\	O(
7	19	N2N	APN	18178	σπήλαια	σπηλαια	σπηλαια	σπήλαιον	sph/laion				SPH/LAIA	SPH/LAION
7	19	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	19	P		8	εἰς	εἰς	εις	εἰς	ei)j				EI)S	EI)S
7	19	A1S	ASF	13571	πᾶσαν	πασαν	πασαν	πᾶς	pa=j				PA=SAN	PA=S
7	19	N3D	APF	14082	ῥαγάδα	ῥαγαδα	ραγαδα	ῥαγάς	r(aga/j				R(AGA/DA	R(AGA/S
7	19	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	19	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
7	19	A3	DSN	17795	παντὶ	παντι	παντι	πᾶς	pa=j				PANTI\	PA=S
7	19	N2N	DSN	17794	ξύλῳ	ξυλω	ξυλω	ξύλον	cu/lon			.	CU/LW|	CU/LON
7	20	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
7	20	RA	DSF	10	τῇ	τη	τη	ὁ	o(				TH=|	O(
7	20	N1A	DSF	13698	ἡμέρᾳ	ἡμερα	ημερα	ἡμέρα	h(me/ra				H(ME/RA|	H(ME/RA
7	20	RD	DSF	11	ἐκείνῃ	ἐκεινη	εκεινη	ἐκεῖνος	e)kei=noj				E)KEI/NH|	E)KEI=NOS
7	20	VF	FAI3S	632961	ξυρήσει	ξυρησει	ξυρησει	ξυράω	cura/w				CURH/SEI	CURA/W
7	20	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
7	20	RA	DSN	10	τῷ	τω	τω	ὁ	o(				TW=|	O(
7	20	N2N	DSN	17794	ξυρῷ	ξυρω	ξυρω	ξυρόν	curo/n				CURW=|	CURO/N
7	20	RA	DSN	10	τῷ	τω	τω	ὁ	o(				TW=|	O(
7	20	A1	DSN	17795	μεγάλῳ	μεγαλω	μεγαλω	μέγας	me/gaj				MEGA/LW|	ME/GAS
7	20	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	20	VM	XMPDSN	9125313	μεμεθυσμένῳ	μεμεθυσμενω	μεμεθυσμενω	μεθύω	mequ/w			,	MEMEQUSME/NW|	MEQU/W
7	20	RR	NSM	14	ὅ	ὁ	ο	ὅς	o(/j				O(/	O(/S
7	20	V9	PAI3S	631937	ἐστιν	ἐστιν	εστιν	εἰμί	ei)mi/				E)STIN	EI)MI/
7	20	D		9	πέραν	περαν	περαν	πέραν	pe/ran				PE/RAN	PE/RAN
7	20	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
7	20	N2	GSM	9538	ποταμοῦ	ποταμου	ποταμου	ποταμός	potamo/j				POTAMOU=	POTAMO/S
7	20	N3V	GSM	9538	βασιλέως	βασιλεως	βασιλεως	βασιλεύς	basileu/j				BASILE/WS	BASILEU/S
7	20	N2	GSM	9538	Ἀσσυρίων	ἀσσυριων	ασσυριων	Ἀσσύριος	A)ssu/rioj			,	*A)SSURI/WN	*A)SSU/RIOS
7	20	RA	ASF	10	τὴν	την	την	ὁ	o(				TH\N	O(
7	20	N1	ASF	13570	κεφαλὴν	κεφαλην	κεφαλην	κεφαλή	kefalh/				KEFALH\N	KEFALH/
7	20	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	20	RA	APF	10	τὰς	τας	τας	ὁ	o(				TA\S	O(
7	20	N3	APF	14082	τρίχας	τριχας	τριχας	θρίξ	qri/c				TRI/XAS	QRI/C
7	20	RA	GPM	10	τῶν	των	των	ὁ	o(				TW=N	O(
7	20	N3D	GPM	10050	ποδῶν	ποδων	ποδων	πούς	pou/j				PODW=N	POU/S
7	20	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	20	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
7	20	N3W	ASM	9474	πώγωνα	πωγωνα	πωγωνα	πώγων	pw/gwn				PW/GWNA	PW/GWN
7	20	VF2	FAI3S	632961	ἀφελεῖ	ἀφελει	αφελει	ἀφαιρέω	a)faire/w			.	A)FELEI=	AI(RE/W          A)PO
7	21	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	21	VF	FAI3S	632961	ἔσται	ἐσται	εσται	εἰμί	ei)mi/				E)/STAI	EI)MI/
7	21	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
7	21	RA	DSF	10	τῇ	τη	τη	ὁ	o(				TH=|	O(
7	21	N1A	DSF	13698	ἡμέρᾳ	ἡμερα	ημερα	ἡμέρα	h(me/ra				H(ME/RA|	H(ME/RA
7	21	RD	DSF	11	ἐκείνῃ	ἐκεινη	εκεινη	ἐκεῖνος	e)kei=noj				E)KEI/NH|	E)KEI=NOS
7	21	VF	FAI3S	632961	θρέψει	θρεψει	θρεψει	τρέφω	tre/fw				QRE/YEI	TRE/FW
7	21	N2	NSM	9346	ἄνθρωπος	ἀνθρωπος	ανθρωπος	ἄνθρωπος	a)/nqrwpoj				A)/NQRWPOS	A)/NQRWPOS
7	21	N3I	ASF	13570	δάμαλιν	δαμαλιν	δαμαλιν	δάμαλις	da/malij				DA/MALIN	DA/MALIS
7	21	N3	GPM	10050	βοῶν	βοων	βοων	βοῦς	bou=j				BOW=N	BOU=S
7	21	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	21	M		7	δύο	δυο	δυο	δύο	du/o				DU/O	DU/O
7	21	N2N	APN	18178	πρόβατα	προβατα	προβατα	πρόβατον	pro/baton			,	PRO/BATA	PRO/BATON
7	22	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	22	VF	FMI3S	637057	ἔσται	ἐσται	εσται	εἰμί	ei)mi/				E)/STAI	EI)MI/
7	22	P		8	ἀπὸ	ἀπο	απο	ἀπό	a)po/				A)PO\	A)PO/
7	22	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
7	22	A1	ASMS	75011	πλεῖστον	πλειστον	πλειστον	πλεῖστος	plei=stoj				PLEI=STON	POLU/S
7	22	V2	PAN	304513	ποιεῖν	ποιειν	ποιειν	ποιέω	poie/w				POIEI=N	POIE/W
7	22	N3	ASN	17666	γάλα	γαλα	γαλα	γάλα	ga/la				GA/LA	GA/LA
7	22	N2N	ASN	17666	βούτυρον	βουτυρον	βουτυρον	βούτυρον	bou/turon				BOU/TURON	BOU/TURON
7	22	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	22	N3	ASN	17666	μέλι	μελι	μελι	μέλι	me/li				ME/LI	ME/LI
7	22	VF	FMI3S	637057	φάγεται	φαγεται	φαγεται	φάγω	fa/gw				FA/GETAI	E)SQI/W
7	22	A3	NSM	9347	πᾶς	πας	πας	πᾶς	pa=j				PA=S	PA=S
7	22	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(				O(	O(
7	22	VV	APPNSM	4803521	καταλειφθεὶς	καταλειφθεις	καταλειφθεις	καταλείπω	katalei/pw				KATALEIFQEI\S	LEI/PW           KATA
7	22	P		8	ἐπὶ	ἐπι	επι	ἐπί	e)pi/				E)PI\	E)PI/
7	22	RA	GSF	10	τῆς	της	της	ὁ	o(				TH=S	O(
7	22	N1	GSF	13634	γῆς	γης	γης	γῆ	gh=			.	GH=S	GH=
7	23	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	23	VF	FMI3S	637057	ἔσται	ἐσται	εσται	εἰμί	ei)mi/				E)/STAI	EI)MI/
7	23	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
7	23	RA	DSF	10	τῇ	τη	τη	ὁ	o(				TH=|	O(
7	23	N1A	DSF	13698	ἡμέρᾳ	ἡμερα	ημερα	ἡμέρα	h(me/ra				H(ME/RA|	H(ME/RA
7	23	RD	DSF	11	ἐκείνῃ	ἐκεινη	εκεινη	ἐκεῖνος	e)kei=noj				E)KEI/NH|	E)KEI=NOS
7	23	A3	NSM	9347	πᾶς	πας	πας	πᾶς	pa=j				PA=S	PA=S
7	23	N2	NSM	9346	τόπος	τοπος	τοπος	τόπος	to/poj			,	TO/POS	TO/POS
7	23	RR	GSM	14	οὗ	οὑ	ου	ὅς	o(/j				OU(=	O(/S
7	23	C		4	ἐὰν	ἐαν	εαν	ἐάν	e)a/n				E)A\N	E)A/N
7	23	N3T	DPN	18306	ὦσιν	ὠσιν	ωσιν	οὖς	ou)=j				W)=SIN	OU)=S
7	23	A1A	NPF	13955	χίλιαι	χιλιαι	χιλιαι	χίλιοι	xi/lioi				XI/LIAI	XI/LIOI
7	23	N2	NPF	13954	ἄμπελοι	ἀμπελοι	αμπελοι	ἄμπελος	a)/mpeloj				A)/MPELOI	A)/MPELOS
7	23	A1A	GPF	14147	χιλίων	χιλιων	χιλιων	χίλιοι	xi/lioi				XILI/WN	XI/LIOI
7	23	N2	GPM	10050	σίκλων	σικλων	σικλων	σίκλος	si/kloj			,	SI/KLWN	SI/KLOS
7	23	P		8	εἰς	εἰς	εις	εἰς	ei)j				EI)S	EI)S
7	23	N2	ASF	13570	χέρσον	χερσον	χερσον	χέρσος	xe/rsoj				XE/RSON	XE/RSOS
7	23	VF	FMI3P	899201	ἔσονται	ἐσονται	εσονται	εἰμί	ei)mi/				E)/SONTAI	EI)MI/
7	23	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	23	P		8	εἰς	εἰς	εις	εἰς	ei)j				EI)S	EI)S
7	23	N1A	ASF	13570	ἄκανθαν	ἀκανθαν	ακανθαν	ἄκανθα	a)/kanqa			·	A)/KANQAN	A)/KANQA
7	24	P		8	μετὰ	μετα	μετα	μετά	meta/				META\	META/
7	24	N3E	GSN	17730	βέλους	βελους	βελους	βέλος	be/loj				BE/LOUS	BE/LOS
7	24	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
7	24	N3M	GSM	9538	τοξεύματος	τοξευματος	τοξευματος	τόξευμα	to/ceuma				TOCEU/MATOS	TO/CEUMA
7	24	VF	FMI3P	899201	εἰσελεύσονται	εἰσελευσονται	εισελευσονται	εἰσέρχομαι	ei)se/rxomai				EI)SELEU/SONTAI	E)/RXOMAI        EI)S
7	24	D		9	ἐκεῖ	ἐκει	εκει	ἐκεῖ	e)kei=			,	E)KEI=	E)KEI=
7	24	C		4	ὅτι	ὁτι	οτι	ὅτι	o(/ti				O(/TI	O(/TI
7	24	N2	NSF	13442	χέρσος	χερσος	χερσος	χέρσος	xe/rsoj				XE/RSOS	XE/RSOS
7	24	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
